TimeFrom,TimeTo,Speaker,Gap between speakers
279.71,280.21,0,0.03
281.48,281.63,0,0.03
281.63,281.72,0,0.03
281.72,281.95,0,0.03
281.95,282.18,0,0.03
282.18,282.78,0,0.03
283.64,283.91,0,0.03
283.91,284.2,0,0.03
284.2,284.56,0,0.03
284.56,284.73,0,0.03
284.73,285.04,0,0.03
285.07,285.6,0,0.03
285.94,286.5,0,0.03
286.53,286.81,0,0.03
287.07,287.33,0,0.03
287.33,287.66,0,0.03
287.66,287.96,0,0.03
287.96,288.23,0,0.03
288.23,288.89,0,0.03
288.92,289.54,1,0.03
289.81,290.24,0,0.27
290.24,290.67,0,0.27
290.67,290.84,0,0.27
290.84,291.25,0,0.27
292.47,292.88,1,1.22
293.34,294,1,1.22
294,294.15,1,1.22
294.15,294.61,1,1.22
294.61,295.23,1,1.22
295.23,295.5,1,1.22
295.5,295.59,1,1.22
295.59,295.86,1,1.22
295.86,296.16,1,1.22
296.56,296.68,1,1.22
296.68,297.01,1,1.22
297.01,297.21,1,1.22
297.21,297.37,1,1.22
297.37,297.46,1,1.22
297.46,297.7,1,1.22
297.76,298.02,1,1.22
298.02,298.46,1,1.22
298.46,298.78,1,1.22
298.84,299.05,1,1.22
299.17,299.35,1,1.22
299.35,299.54,1,1.22
299.57,299.82,1,1.22
299.82,299.98,1,1.22
299.98,300.23,1,1.22
300.23,300.37,1,1.22
301.3,301.56,1,1.22
301.56,302,1,1.22
302,302.48,1,1.22
302.73,302.9,0,0.25
302.9,303.01,0,0.25
303.01,303.34,0,0.25
303.44,304.13,0,0.25
304.13,304.27,0,0.25
304.27,304.79,0,0.25
305.26,305.41,0,0.25
305.41,305.68,0,0.25
305.68,306.1,0,0.25
306.1,306.34,0,0.25
306.34,306.56,0,0.25
306.56,306.99,0,0.25
307.56,307.88,0,0.25
307.88,307.97,0,0.25
307.97,308.36,0,0.25
308.36,308.73,0,0.25
308.73,309.16,0,0.25
309.59,309.84,1,0.43
309.84,310.2,1,0.43
311.04,311.45,0,0.84
311.45,311.63,0,0.84
311.63,312.07,0,0.84
312.07,312.44,0,0.84
312.44,312.7,0,0.84
312.7,313.43,0,0.84
313.46,313.59,0,0.84
313.59,313.86,0,0.84
313.86,314.4,0,0.84
314.4,314.63,0,0.84
314.63,314.84,0,0.84
314.84,315.01,0,0.84
315.01,315.16,0,0.84
315.16,315.26,0,0.84
315.26,315.52,0,0.84
315.52,315.96,0,0.84
317.11,317.31,0,0.84
317.31,317.41,0,0.84
317.41,317.49,0,0.84
317.49,317.81,0,0.84
319.17,319.43,0,0.84
319.43,320.6,0,0.84
320.97,321.28,0,0.84
321.28,321.43,0,0.84
321.43,321.84,0,0.84
321.84,322.22,0,0.84
322.22,322.41,0,0.84
322.41,322.86,0,0.84
322.86,322.95,0,0.84
322.95,323.04,0,0.84
323.04,323.11,0,0.84
323.11,323.6,0,0.84
323.6,323.88,0,0.84
324.87,325.17,0,0.84
325.17,325.3,0,0.84
325.3,325.68,0,0.84
325.68,325.77,0,0.84
325.77,325.88,0,0.84
325.88,326.18,0,0.84
326.18,326.35,0,0.84
326.35,326.52,0,0.84
326.52,326.94,0,0.84
326.97,327.15,0,0.84
327.15,327.56,0,0.84
327.56,327.88,0,0.84
330.54,330.72,0,0.84
330.72,331.14,0,0.84
331.18,331.61,0,0.84
331.61,331.75,0,0.84
331.75,332.11,0,0.84
332.11,332.28,0,0.84
332.28,332.64,0,0.84
332.68,332.9,0,0.84
332.9,333.04,0,0.84
333.04,333.55,0,0.84
335.45,335.67,0,0.84
335.67,335.86,0,0.84
335.86,335.93,0,0.84
335.93,336.12,0,0.84
336.12,336.51,0,0.84
336.51,336.57,0,0.84
336.57,336.77,0,0.84
336.77,337.15,0,0.84
337.15,337.56,0,0.84
337.86,338.68,0,0.84
338.71,339.63,0,0.84
339.66,340.41,0,0.84
340.44,341.34,0,0.84
342.64,342.79,0,0.84
342.79,342.95,0,0.84
342.95,343.17,0,0.84
343.17,343.37,0,0.84
343.37,343.77,0,0.84
343.8,344.49,0,0.84
344.49,344.8,0,0.84
344.8,345.29,0,0.84
346.31,346.49,0,0.84
346.49,346.83,0,0.84
346.83,346.92,0,0.84
346.92,347.04,0,0.84
347.04,347.38,0,0.84
347.38,347.47,0,0.84
347.47,347.81,0,0.84
347.81,347.97,0,0.84
347.97,348.7,0,0.84
348.73,349.25,0,0.84
349.49,349.7,0,0.84
349.7,349.86,0,0.84
349.86,350.15,0,0.84
350.15,350.62,0,0.84
350.67,350.94,0,0.84
350.94,351.31,0,0.84
351.31,351.49,0,0.84
351.49,352.01,0,0.84
352.01,352.29,0,0.84
352.29,352.83,0,0.84
352.83,353.23,0,0.84
354.38,354.82,0,0.84
355,355.15,0,0.84
355.15,355.32,0,0.84
355.32,355.57,0,0.84
355.57,356.15,0,0.84
357.37,357.69,0,0.84
357.75,357.92,0,0.84
357.92,358.02,0,0.84
358.02,358.2,0,0.84
358.2,358.32,0,0.84
358.32,358.47,0,0.84
358.47,358.77,0,0.84
358.77,358.96,0,0.84
358.96,359.07,0,0.84
359.07,359.49,0,0.84
359.49,359.75,0,0.84
359.75,360.09,0,0.84
360.09,360.2,0,0.84
360.2,360.89,0,0.84
361.76,362.06,0,0.84
362.06,362.6,0,0.84
362.6,362.98,0,0.84
362.98,363.24,0,0.84
363.24,363.36,0,0.84
363.36,363.47,0,0.84
363.47,363.93,0,0.84
363.93,364.18,0,0.84
364.18,364.34,0,0.84
364.34,364.59,0,0.84
364.59,364.85,0,0.84
364.85,364.94,0,0.84
364.94,365.13,0,0.84
365.13,365.45,0,0.84
366.8,367.13,0,0.84
367.13,367.5,0,0.84
367.5,367.69,0,0.84
367.69,367.8,0,0.84
367.8,367.89,0,0.84
367.89,368.25,0,0.84
368.25,368.34,0,0.84
368.34,368.49,0,0.84
368.49,368.85,0,0.84
368.85,369.79,0,0.84
369.79,369.94,0,0.84
369.94,370.04,0,0.84
370.04,370.44,0,0.84
370.44,371.16,0,0.84
371.16,371.3,0,0.84
371.3,371.59,0,0.84
371.59,372.04,0,0.84
372.04,372.2,0,0.84
372.2,372.79,0,0.84
373.41,373.69,1,0.62
374.53,374.84,0,0.84
374.84,375.05,0,0.84
375.05,375.64,0,0.84
375.98,376.36,0,0.84
377.2,377.33,0,0.84
377.33,377.58,0,0.84
377.58,378.27,0,0.84
378.87,379.23,1,0.6
380.67,380.99,1,0.6
380.99,381.11,1,0.6
381.11,381.32,1,0.6
381.32,381.72,1,0.6
381.72,381.83,1,0.6
381.83,382.03,1,0.6
382.03,382.37,1,0.6
382.41,382.85,1,0.6
383.05,383.26,1,0.6
384.46,384.61,1,0.6
384.61,384.74,1,0.6
384.74,384.97,1,0.6
384.97,385.09,1,0.6
385.09,385.35,1,0.6
385.35,385.49,1,0.6
385.49,385.79,1,0.6
385.79,385.93,1,0.6
385.93,386.07,1,0.6
386.07,386.59,1,0.6
386.68,386.81,1,0.6
386.81,387.1,1,0.6
387.1,387.63,1,0.6
387.63,387.9,1,0.6
387.9,388,1,0.6
388.11,388.38,1,0.6
388.54,388.94,1,0.6
389.79,390.02,1,0.6
390.93,390.96,1,0.6
390.96,391.17,1,0.6
391.17,391.45,1,0.6
391.45,391.87,1,0.6
392.02,392.31,1,0.6
393.28,393.62,1,0.6
393.62,393.86,1,0.6
393.86,394.1,1,0.6
394.1,394.5,1,0.6
394.5,394.74,1,0.6
394.74,394.86,1,0.6
394.86,395.34,1,0.6
396.94,397.06,1,0.6
397.06,397.4,1,0.6
397.61,397.94,1,0.6
398.06,398.63,1,0.6
399.44,399.75,1,0.6
399.75,399.89,1,0.6
399.89,400.15,1,0.6
400.15,400.38,1,0.6
400.38,400.52,1,0.6
400.52,400.81,1,0.6
401.66,401.88,1,0.6
401.88,401.94,1,0.6
401.94,402.21,1,0.6
402.68,403.21,1,0.6
403.24,403.56,1,0.6
404.52,404.69,1,0.6
404.69,404.81,1,0.6
404.81,405.09,1,0.6
405.14,405.63,0,0.05
405.63,405.73,0,0.05
405.73,406.01,0,0.05
406.01,406.32,0,0.05
